NoEstado,Estado,NoMunicipio,Municipio,NoCiudad,Ciudad/Colonia
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes
1,Aguascalientes,2,Asientos,1,Asientos
1,Aguascalientes,3,Calvillo,1,Calvillo
1,Aguascalientes,4,Cosio,1,Cosio
1,Aguascalientes,5,Jesus Maria,1,Jesus Maria
1,Aguascalientes,6,Pabellon de Arteaga,1,Pabellon de Arteaga
1,Aguascalientes,7,Rincon de Romos,1,Rincon de Romos
1,Aguascalientes,8,San Jose de Gracia,1,San Jose de Gracia
1,Aguascalientes,9,Tepezala,1,Tepezala
1,Aguascalientes,10,El Llano,1,Palo Alto
1,Aguascalientes,11,San Francisco de los Romo,1,San Francisco de los Romo
2,Baja California,1,Ensenada,1,Ensenada
2,Baja California,2,Mexicali,1,Mexicali
2,Baja California,3,Tecate,1,Tecate
2,Baja California,4,Tijuana,1,Tijuana
2,Baja California,5,Playas de Rosarito,1,Playas de Rosarito
3,Baja California Sur,1,Comondu,1,Ciudad Constitucion
3,Baja California Sur,2,Mulege,1,Santa Rosalia
3,Baja California Sur,3,La Paz,1,La Paz
3,Baja California Sur,8,Los Cabos,1,San Jose del Cabo
3,Baja California Sur,9,Loreto,1,Loreto
4,Campeche,1,Calkini,1,Calkini
4,Campeche,2,Campeche,1,San Francisco de Campeche
4,Campeche,3,Carmen,1,Ciudad del Carmen
4,Campeche,4,Champoton,1,Champoton
4,Campeche,5,Hecelchakan,1,Hecelchakan
4,Campeche,6,Hopelchen,1,Hopelchen
4,Campeche,7,Palizada,1,Palizada
4,Campeche,8,Tenabo,1,Tenabo
4,Campeche,9,Escarcega,1,Escarcega
4,Campeche,10,Calakmul,1,Xpujil
4,Campeche,11,Candelaria,1,Candelaria
5,Coahuila de Zaragoza,1,Abasolo,1,Abasolo
5,Coahuila de Zaragoza,2,Acuña,1,Ciudad Acuña
5,Coahuila de Zaragoza,3,Allende,1,Allende
5,Coahuila de Zaragoza,4,Arteaga,1,Arteaga
5,Coahuila de Zaragoza,5,Candela,1,Candela
5,Coahuila de Zaragoza,6,Castaños,1,Castaños
5,Coahuila de Zaragoza,7,Cuatro Cienegas,1,Cuatro Cienegas de Carranza
5,Coahuila de Zaragoza,8,Escobedo,1,Escobedo
5,Coahuila de Zaragoza,9,Francisco I. Madero,1,Francisco I. Madero (Chavez)
5,Coahuila de Zaragoza,10,Frontera,1,Frontera
5,Coahuila de Zaragoza,11,General Cepeda,1,General Cepeda
5,Coahuila de Zaragoza,12,Guerrero,1,Guerrero
5,Coahuila de Zaragoza,13,Hidalgo,1,Hidalgo
5,Coahuila de Zaragoza,14,Jimenez,1,Jimenez
5,Coahuila de Zaragoza,15,Juarez,1,Juarez
5,Coahuila de Zaragoza,16,Lamadrid,1,Lamadrid
5,Coahuila de Zaragoza,17,Matamoros,1,Matamoros
5,Coahuila de Zaragoza,18,Monclova,1,Monclova
5,Coahuila de Zaragoza,19,Morelos,1,Morelos
5,Coahuila de Zaragoza,20,Muzquiz,1,Ciudad Melchor Muzquiz
5,Coahuila de Zaragoza,21,Nadadores,1,Nadadores
5,Coahuila de Zaragoza,22,Nava,1,Nava
5,Coahuila de Zaragoza,23,Ocampo,1,Ocampo
5,Coahuila de Zaragoza,24,Parras,1,Parras de la Fuente
5,Coahuila de Zaragoza,25,Piedras Negras,1,Piedras Negras
5,Coahuila de Zaragoza,26,Progreso,1,Progreso
5,Coahuila de Zaragoza,27,Ramos Arizpe,1,Ramos Arizpe
5,Coahuila de Zaragoza,28,Sabinas,1,Sabinas
5,Coahuila de Zaragoza,29,Sacramento,1,Sacramento
5,Coahuila de Zaragoza,30,Saltillo,1,Saltillo
5,Coahuila de Zaragoza,31,San Buenaventura,1,San Buenaventura
5,Coahuila de Zaragoza,32,San Juan de Sabinas,14,Nueva Rosita
5,Coahuila de Zaragoza,33,San Pedro,1,San Pedro
5,Coahuila de Zaragoza,34,Sierra Mojada,1,Sierra Mojada
5,Coahuila de Zaragoza,35,Torreon,1,Torreon
5,Coahuila de Zaragoza,36,Viesca,1,Viesca
5,Coahuila de Zaragoza,37,Villa Union,1,Villa Union
5,Coahuila de Zaragoza,38,Zaragoza,1,Zaragoza
6,Colima,1,Armeria,1,Ciudad de Armeria
6,Colima,2,Colima,1,Colima
6,Colima,3,Comala,1,Comala
6,Colima,4,Coquimatlan,1,Coquimatlan
6,Colima,5,Cuauhtemoc,1,Cuauhtemoc
6,Colima,6,Ixtlahuacan,1,Ixtlahuacan
6,Colima,7,Manzanillo,1,Manzanillo
6,Colima,8,Minatitlan,1,Minatitlan
6,Colima,9,Tecoman,1,Tecoman
6,Colima,10,Villa de alvarez,1,Ciudad de Villa de alvarez
7,Chiapas,1,Acacoyagua,1,Acacoyagua
7,Chiapas,2,Acala,1,Acala
7,Chiapas,3,Acapetahua,1,Acapetahua
7,Chiapas,4,Altamirano,1,Altamirano
7,Chiapas,5,Amatan,1,Amatan
7,Chiapas,6,Amatenango de la Frontera,1,Amatenango de la Frontera
7,Chiapas,7,Amatenango del Valle,1,Amatenango del Valle
7,Chiapas,8,Angel Albino Corzo,1,Jaltenango de la Paz (Angel Albino Corzo)
7,Chiapas,9,Arriaga,1,Arriaga
7,Chiapas,10,Bejucal de Ocampo,1,Bejucal de Ocampo
7,Chiapas,11,Bella Vista,1,Bella Vista
7,Chiapas,12,Berriozabal,1,Berriozabal
7,Chiapas,13,Bochil,1,Bochil
7,Chiapas,14,El Bosque,1,El Bosque
7,Chiapas,15,Cacahoatan,1,Cacahoatan
7,Chiapas,16,Catazaja,1,Catazaja
7,Chiapas,17,Cintalapa,1,Cintalapa de Figueroa
7,Chiapas,18,Coapilla,1,Coapilla
7,Chiapas,19,Comitan de Dominguez,1,Comitan de Dominguez
7,Chiapas,20,La Concordia,1,La Concordia
7,Chiapas,21,Copainala,1,Copainala
7,Chiapas,22,Chalchihuitan,1,Chalchihuitan
7,Chiapas,23,Chamula,1,Chamula
7,Chiapas,24,Chanal,1,Chanal
7,Chiapas,25,Chapultenango,1,Chapultenango
7,Chiapas,26,Chenalho,1,Chenalho
7,Chiapas,27,Chiapa de Corzo,1,Chiapa de Corzo
7,Chiapas,28,Chiapilla,1,Chiapilla
7,Chiapas,29,Chicoasen,1,Chicoasen
7,Chiapas,30,Chicomuselo,1,Chicomuselo
7,Chiapas,31,Chilon,1,Chilon
7,Chiapas,32,Escuintla,1,Escuintla
7,Chiapas,33,Francisco Leon,42,Rivera el Viejo Carmen
7,Chiapas,34,Frontera Comalapa,1,Frontera Comalapa
7,Chiapas,35,Frontera Hidalgo,1,Frontera Hidalgo
7,Chiapas,36,La Grandeza,1,La Grandeza
7,Chiapas,37,Huehuetan,1,Huehuetan
7,Chiapas,38,Huixtan,1,Huixtan
7,Chiapas,39,Huitiupan,1,Huitiupan
7,Chiapas,40,Huixtla,1,Huixtla
7,Chiapas,41,La Independencia,1,La Independencia
7,Chiapas,42,Ixhuatan,1,Ixhuatan
7,Chiapas,43,Ixtacomitan,1,Ixtacomitan
7,Chiapas,44,Ixtapa,1,Ixtapa
7,Chiapas,45,Ixtapangajoya,1,Ixtapangajoya
7,Chiapas,46,Jiquipilas,1,Jiquipilas
7,Chiapas,47,Jitotol,1,Jitotol
7,Chiapas,48,Juarez,1,Juarez
7,Chiapas,49,Larrainzar,1,Larrainzar
7,Chiapas,50,La Libertad,1,La Libertad
7,Chiapas,51,Mapastepec,1,Mapastepec
7,Chiapas,52,Las Margaritas,1,Las Margaritas
7,Chiapas,53,Mazapa de Madero,1,Mazapa de Madero
7,Chiapas,54,Mazatan,1,Mazatan
7,Chiapas,55,Metapa,1,Metapa de Dominguez
7,Chiapas,56,Mitontic,1,Mitontic
7,Chiapas,57,Motozintla,1,Motozintla de Mendoza
7,Chiapas,58,Nicolas Ruiz,1,Nicolas Ruiz
7,Chiapas,59,Ocosingo,1,Ocosingo
7,Chiapas,60,Ocotepec,1,Ocotepec
7,Chiapas,61,Ocozocoautla de Espinosa,1,Ocozocoautla de Espinosa
7,Chiapas,62,Ostuacan,1,Ostuacan
7,Chiapas,63,Osumacinta,1,Osumacinta
7,Chiapas,64,Oxchuc,1,Oxchuc
7,Chiapas,65,Palenque,1,Palenque
7,Chiapas,66,Pantelho,1,Pantelho
7,Chiapas,67,Pantepec,1,Pantepec
7,Chiapas,68,Pichucalco,1,Pichucalco
7,Chiapas,69,Pijijiapan,1,Pijijiapan
7,Chiapas,70,El Porvenir,1,El Porvenir de Velasco Suarez
7,Chiapas,71,Villa Comaltitlan,1,Villa Comaltitlan
7,Chiapas,72,Pueblo Nuevo Solistahuacan,1,Pueblo Nuevo Solistahuacan
7,Chiapas,73,Rayon,1,Rayon
7,Chiapas,74,Reforma,1,Reforma
7,Chiapas,75,Las Rosas,1,Las Rosas
7,Chiapas,76,Sabanilla,1,Sabanilla
7,Chiapas,77,Salto de Agua,1,Salto de Agua
7,Chiapas,78,San Cristobal de las Casas,1,San Cristobal de las Casas
7,Chiapas,79,San Fernando,1,San Fernando
7,Chiapas,80,Siltepec,1,Siltepec
7,Chiapas,81,Simojovel,1,Simojovel de Allende
7,Chiapas,82,Sitala,1,Sitala
7,Chiapas,83,Socoltenango,1,Socoltenango
7,Chiapas,84,Solosuchiapa,1,Solosuchiapa
7,Chiapas,85,Soyalo,1,Soyalo
7,Chiapas,86,Suchiapa,1,Suchiapa
7,Chiapas,87,Suchiate,1,Ciudad Hidalgo
7,Chiapas,88,Sunuapa,1,Sunuapa
7,Chiapas,89,Tapachula,1,Tapachula de Cordova y Ordoñez
7,Chiapas,90,Tapalapa,1,Tapalapa
7,Chiapas,91,Tapilula,1,Tapilula
7,Chiapas,92,Tecpatan,1,Tecpatan
7,Chiapas,93,Tenejapa,1,Tenejapa
7,Chiapas,94,Teopisca,1,Teopisca
7,Chiapas,96,Tila,1,Tila
7,Chiapas,97,Tonala,1,Tonala
7,Chiapas,98,Totolapa,1,Totolapa
7,Chiapas,99,La Trinitaria,1,La Trinitaria
7,Chiapas,100,Tumbala,1,Tumbala
7,Chiapas,101,Tuxtla Gutierrez,1,Tuxtla Gutierrez
